blade station,external surface (gelcoat),external surface (triax),root buildup,spar caps,aft panels,LE panel,shear webs (biax),shear webs (foam),TE reinforcement (uniax),TE reinforcement (foam),internal surfaces (triax),internal surfaces (resin)
13,0.011997323730754544,0.07482795850162975,0.0,0.3871099323140199,0.050685139547064946,0.03081838657287707,0.04519314770444774,0.06771112808908297,0.07948080311929909,0.008314275290730198,0.12299652817224285,0.12086537695786549
14,0.012065581743075761,0.07525495546522297,0.0,0.38565811838495695,0.03223240417497207,0.030194144729905826,0.04587038585134885,0.06872454307191185,0.09475799191058319,0.00756410263835872,0.12491641475962166,0.12276135727005327
15,0.0123117396281745,0.07679123724107993,0.0,0.3589507914058303,0.03440243508551346,0.02993527054508481,0.046939510178228866,0.07032882906010893,0.11058401981968868,0.0069956305781185705,0.12747077314079464,0.12528976331737135
16,0.012557486789289665,0.07832446104881802,0.0,0.34760671354872286,0.03638202881250676,0.029531804908725034,0.04752336194998187,0.07119618528331251,0.11239372669110895,0.0071257532664612076,0.12979280196317283,0.12756567573790184
17,0.01269203628625088,0.07916321842559627,0.0,0.3483173973084858,0.03692488802111994,0.029352660450267506,0.04614146826014082,0.06912579514627774,0.11502642241125824,0.007337443258527902,0.12908469586823446,0.12683397456383969
18,0.012812867247940356,0.07991601459561903,0.0,0.3510094905489547,0.03713342386225894,0.029168710085670235,0.04437478268807401,0.06648435786479262,0.11823123841700024,0.007584832969164664,0.12777708074730598,0.12550720097321752
19,0.013699561814112388,0.08544540060129883,0.0,0.36964119082537805,0.0394516105334992,0.030558828928707944,0.0448582743948896,0.0672072233396133,0.06997075808441737,0.007926694087399325,0.1369267138636362,0.13431374352704414
20,0.012731354877221905,0.07940553220118661,0.0,0.4127985660378528,0.036139921637483766,0.028198143803986674,0.04207947885213188,0.06304803386208595,0.0662446134189432,0.0063668095170459965,0.12773368084442158,0.12525386494764165
21,0.012732212514795928,0.0794097478505037,0.0,0.4107979272480301,0.03559485067646305,0.0279885557084236,0.042473766399370186,0.06364202342903416,0.06752332012677215,0.005435360590686334,0.12845250934023297,0.1259497261156886
22,0.012734982335280273,0.07942585930134359,0.0,0.4087276109566612,0.035037398819656715,0.02777545550766066,0.04287273782588856,0.06423940658212608,0.06885363911876993,0.00421649831248855,0.12934076383299067,0.12677564740713732
23,0.012717163920457577,0.07931357489605527,0.0,0.40558247923446056,0.03423254236562338,0.02766476839165186,0.04571443332080124,0.06849221616336858,0.05899785607925816,0.0038940370498758954,0.13300788828922297,0.1303830402892216
24,0.012775522100403688,0.07967586399080362,0.0,0.40856669431827286,0.033654188802166696,0.027754354048564012,0.047668487652116114,0.07142026679068125,0.048249444910634154,0.003070569501543426,0.13513495567057826,0.13202965221423393
25,0.007733485681113047,0.09639668359892033,0.0,0.49138885976941843,0.039753129191892216,0.033013281904561466,0.030457004711462867,0.04563575553145175,0.04343325660730803,0.002428552567298482,0.13229213525224853,0.07746785518432478
26,0.007794650386282076,0.09715489915676305,0.0,0.49673505576346155,0.03911486756578804,0.03259438688633677,0.02980104022712059,0.044645196278649366,0.03959460086574298,0.002707482252091215,0.13237194161955076,0.07748587899821369
27,0.007888254007313458,0.09831723540449791,0.0,0.504144438969832,0.03854326103901426,0.03228461053381109,0.029170087091168473,0.04370794378384119,0.03218384699241377,0.0030199679029518155,0.13294559449587082,0.07779475977928536
28,0.007975845401596859,0.09940467591711068,0.0,0.5109045176607572,0.03784323413030727,0.03194600936169727,0.028417247083160246,0.042578372869411234,0.026979325710822774,0.0032701508268924077,0.1329050987841136,0.07777552225413062
29,0.008631003945325235,0.10755303646434963,0.0,0.5064549832417484,0.03699434331307015,0.03228845104688781,0.027814174999845048,0.04167578227537295,0.01602672377634374,0.0039544570093144465,0.13805553787955255,0.08055150604818986
30,0.00969714580135717,0.12081594226247343,0.0,0.49392978020951717,0.03995656574803953,0.033884490340551944,0.021982278942352808,0.03293225309715771,0.01885723260260143,0.004349293944067464,0.14098615422226188,0.08260886282961949
31,0.009994714237108997,0.12451477449996011,0.0,0.4895082052685233,0.03670398936231524,0.031504929287586025,0.021965763085203156,0.032907524964782595,0.019777824860890435,0.0045393642909767095,0.1441492956158776,0.08443361452677595
32,0.011435078120335543,0.14242200670840482,0.0,0.43863031454977686,0.031086335944483866,0.02803554178000146,0.024005965200986863,0.03599176409302307,0.023946340532230125,0.005469588970949803,0.16339900655163142,0.09557805754817623
33,0.013109952708185805,0.16324604201521212,0.0,0.3802332220440203,0.021894333073499965,0.020810913435137617,0.027090759936228843,0.040620443295189365,0.028593232416022175,0.006537848410885892,0.1879812537553894,0.10988199891022868
34,0.016256220344775307,0.20226282709553178,0.0,0.26585201624008603,0.01017441215212734,0.011488941704098069,0.031892447494799345,0.047778947557751764,0.0396092530253862,0.009109195089386936,0.23085335695159712,0.13472238234446002
35,0.01860590120854337,0.23133434944705333,0.0,0.174835762404507,0.0058112978660655795,0.007906929646941532,0.034950207446465896,0.052412557425341816,0.04890907250184412,0.01131348857579589,0.26158823636399564,0.15233219711344576
36,0.02063333013748,0.2557592395921334,0.0,0.1384660393442509,0.0,0.0025764125069450165,0.031336707573762654,0.047044096603520644,0.06324326930105009,0.01484539082198469,0.27005213373607384,0.15604338038279872
37,0.02368133717334384,0.2926560708618569,0.0,0.15886780174633722,0.0,0.003913153710082198,0.0,0.0,0.0779099482345042,0.01848876148812629,0.2682005823013377,0.1562823444844118
38,0.02404780015135596,0.29538676630229344,0.0,0.16137926768476574,0.0,0.003922668299147734,0.0,0.0,0.07610349820356636,0.01794038399030877,0.2665030097168224,0.15471660565173972
39,0.024822584281388865,0.30050885087587104,0.0,0.16649999597649343,0.0,0.003939015715003463,0.0,0.0,0.0742259586970853,0.01670220659099322,0.2627040211592192,0.15059736670394547
40,0.07836694804753494,0.7478029174220245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12213494445375618,0.05169519007668428
